date,total_cases,new_cases,icu_patients,hosp_patients
2022-02-16,1255303,5264,62,631
2022-02-17,1260329,5026,58,639
2022-02-18,1265124,4795,57,591
2022-02-19,1265124,0,55,579
2022-02-20,1265124,0,52,594
2022-02-21,1276778,11654,53,636
2022-02-22,1280058,3280,54,608
2022-02-23,1284179,4121,54,593
2022-02-24,1287908,3729,55,611
2022-02-25,1292212,4304,53,630
2022-02-26,1292212,0,49,583
2022-02-27,1292212,0,48,603
2022-02-28,1300422,8210,47,610
2022-03-01,1303720,3298,48,616
2022-03-02,1307062,3342,46,653
2022-03-03,1311105,4043,46,661
2022-03-04,1315100,3995,43,670
2022-03-05,1315100,0,43,673
2022-03-06,1315100,0,45,749
2022-03-07,1322591,7491,,
2022-03-08,1326946,4355,,
2022-03-09,1328644,1698,,
2022-03-10,1332701,4057,,
2022-03-11,1341826,9125,,
