Date,New Cases,New Deaths,Hospital Patients,ICU Patients,New Tests,New Vaccinations
2021-08-07,1828,0,198,33,22769,20650
2021-08-08,1837,0,208,31,18879,29007
2021-08-09,1411,0,217,34,16052,35884
2021-08-10,1509,0,206,33,18638,38733
2021-08-11,1819,15,206,36,24234,45765
2021-08-12,1733,0,219,37,21609,39870
2021-08-13,1978,0,221,43,22551,24145
2021-08-14,2074,0,230,43,23269,20702
2021-08-15,1758,0,248,48,20215,33576
2021-08-16,1441,0,262,51,15775,40157
2021-08-17,1496,0,248,54,18709,41536
2021-08-18,1704,15,249,54,23925,37484
2021-08-19,1818,0,244,52,22901,37649
2021-08-20,2098,0,251,52,21223,19998
2021-08-21,2125,0,259,54,22583,20363
2021-08-22,1688,0,314,59,18070,26414
2021-08-23,1590,0,318,60,14921,32957
2021-08-24,1571,0,307,55,18420,29137
2021-08-25,2051,18,323,56,23838,28265
2021-08-26,1866,0,332,61,23029,29250
2021-08-27,1875,0,326,59,21919,17916
2021-08-28,1997,0,324,61,20310,17973
2021-08-29,1706,0,347,60,17869,16170
2021-08-30,1292,0,382,61,14527,16987
2021-08-31,1382,0,355,54,18684,17573
2021-09-01,1789,20,360,56,24024,17545
2021-09-02,,0,343,59,21832,20913
2021-09-03,1407,0,353,55,21312,15286
2021-09-04,1703,0,363,52,21728,17177
2021-09-05,1180,0,362,59,18088,11843
2021-09-06,1136,0,384,59,17510,13128
2021-09-07,1465,0,367,59,20585,17526
2021-09-08,1537,43,335,56,26671,17992
2021-09-09,1271,0,331,54,26494,17384
2021-09-10,1619,0,328,59,26700,13898
2021-09-11,1466,0,310,58,26396,14893
2021-09-12,1346,0,315,59,20227,9346
2021-09-13,877,0,321,58,20192,12354
2021-09-14,1176,0,309,60,23063,15766
2021-09-15,,24,292,65,30302,12573
2021-09-16,3765,0,290,67,28845,17225
2021-09-17,1386,0,288,73,26908,13527
2021-09-18,1456,0,261,66,27371,10350
2021-09-19,1224,0,278,63,22731,6567
2021-09-20,1150,0,297,65,19847,8185
2021-09-21,1420,0,286,63,22989,10097
2021-09-22,1429,30,272,63,29941,10510
2021-09-23,1354,0,286,59,27520,9347
2021-09-24,1163,0,297,61,26457,9029
2021-09-25,1335,0,282,65,25248,8626
2021-09-26,1459,0,296,65,19928,5289
2021-09-27,1044,0,310,66,15793,7154
2021-09-28,1497,0,300,63,18974,5982
2021-09-29,1447,40,300,60,24480,7028
2021-09-30,1267,0,297,59,22984,9765
2021-10-01,1057,0,308,59,21023,7066
2021-10-02,1586,0,298,56,20608,5403
2021-10-03,1051,0,319,60,17003,6401
2021-10-04,893,0,333,64,13890,12591
2021-10-05,1124,0,349,65,17689,15939
2021-10-06,982,31,343,70,23775,15904
2021-10-07,1206,0,355,69,22774,16161
2021-10-08,2002,0,354,73,23046,9653
2021-10-09,1940,0,353,74,20208,6713
2021-10-10,1384,0,382,74,17939,8119
2021-10-11,1357,0,400,75,14958,12800
2021-10-12,1456,0,402,73,17927,15042
2021-10-13,2051,26,408,69,25587,16499
2021-10-14,1626,0,415,70,24904,14061
2021-10-15,1907,0,413,73,23337,11887
2021-10-16,2180,0,406,71,23405,6273
2021-10-17,1380,0,459,74,20038,6900
2021-10-18,1576,0,484,73,18105,13143
2021-10-19,2397,0,472,74,21358,14520
2021-10-20,2147,63,464,86,27417,14889
2021-10-21,2026,0,448,88,27339,11499
2021-10-22,2465,0,457,90,25234,5124
2021-10-23,2427,0,450,93,23034,5493
2021-10-24,1725,0,471,97,19115,2568
2021-10-25,1845,0,497,99,17133,6962
2021-10-26,2180,0,513,97,16525,10321
2021-10-27,1624,67,503,101,22457,11268
2021-10-28,2598,0,487,99,25215,10145
2021-10-29,2541,0,481,97,24910,5612
2021-10-30,2966,0,470,92,25252,3920
2021-10-31,1963,0,500,93,22395,
2021-11-01,2855,0,515,91,21441,
2021-11-02,3723,0,493,90,20999,10560
2021-11-03,3174,56,460,86,30021,13003
2021-11-04,3024,0,458,90,28911,15048
2021-11-05,3903,0,464,76,27436,17025
2021-11-06,3685,0,444,74,27232,14528
2021-11-07,3428,0,478,75,25624,12742
2021-11-08,3161,0,498,78,22338,15793
2021-11-09,5331,0,520,83,25798,25723
2021-11-10,2968,74,551,89,30675,29915
2021-11-11,3677,0,543,97,31250,32578
2021-11-12,5478,0,549,96,30161,28448
2021-11-13,4642,0,556,107,29128,22775
2021-11-14,3805,0,582,106,26062,12638
2021-11-15,4558,0,622,117,25005,16772
2021-11-16,4407,0,614,114,27467,30635
2021-11-17,3632,43,634,119,31973,36003
2021-11-18,4646,0,643,118,32415,42396
2021-11-19,3133,0,643,118,30759,34226
2021-11-20,5959,0,640,121,31104,25717
2021-11-21,4181,0,669,125,28683,17777
2021-11-22,5630,0,685,126,26990,17751
2021-11-23,3661,0,638,130,30274,36901
2021-11-24,3891,43,611,132,31622,40287
2021-11-25,4763,0,598,126,35284,42933
2021-11-26,4619,0,572,118,32926,38321
2021-11-27,4791,0,536,121,34190,27293
2021-11-28,3735,0,566,117,28461,20299
2021-11-29,4603,0,579,115,29569,23076
2021-11-30,5458,0,579,122,30682,42310
2021-12-01,3790,55,578,117,34324,41581
2021-12-02,4159,0,545,117,36124,43088
2021-12-03,5408,0,528,110,33464,38363
2021-12-04,5622,0,487,114,34442,26237
2021-12-05,5156,0,503,110,30391,18310
2021-12-06,2911,0,536,110,30004,24337
2021-12-07,5565,0,505,117,29812,30372
2021-12-08,4126,81,543,118,34383,39453
2021-12-09,4003,0,530,115,27121,48192
2021-12-10,4097,0,511,110,30491,43569
2021-12-11,4004,0,481,111,34462,30614
2021-12-12,4667,0,504,109,32346,28375
2021-12-13,4683,0,518,108,27383,33426
2021-12-14,3871,0,493,109,27119,55363
2021-12-15,4230,47,470,105,36274,59559
2021-12-16,4141,0,443,108,35130,68871
2021-12-17,3595,0,420,105,34589,69561
2021-12-18,7333,0,410,107,33312,48501
2021-12-19,5124,0,436,107,32546,56306
2021-12-20,4788,0,467,104,27032,94397
2021-12-21,5269,0,443,102,35494,132637
2021-12-22,6307,55,429,100,38509,135380
2021-12-23,7411,0,390,98,40553,104333
2021-12-24,11182,0,393,89,38531,11290
2021-12-25,13765,0,378,87,43100,23
2021-12-26,10404,0,426,91,25581,257
2021-12-27,6735,0,462,91,14067,13808
2021-12-28,9006,0,521,92,26389,24483
2021-12-29,16428,22,568,93,39006,55438
2021-12-30,20554,0,619,88,45583,63483
2021-12-31,20110,0,682,86,45772,21428
